regla_SI,clase_ENTONCES,precision,soporte,aciertos,cobertura_clase
Metodologia=Agil AND Experiencia_Lider=Alta,Si,1.0,117,117,0.2349
Metodologia=Cascada AND Presupuesto=Bajo,No,1.0,115,115,0.2291
Experiencia_Lider=Baja AND Tamano_Equipo=Grande,No,1.0,114,114,0.2271
Presupuesto=Alto AND Tamano_Equipo=Pequeño,Si,1.0,101,101,0.2028
Presupuesto=Medio AND Experiencia_Lider=Media AND Metodologia=Agil AND Tamano_Equipo=Pequeño,No,0.8462,13,11,0.0219
Tamano_Equipo=Mediano AND Metodologia=Cascada AND Experiencia_Lider=Alta AND Presupuesto=Medio,No,0.7778,9,7,0.0139
Presupuesto=Alto AND Experiencia_Lider=Media AND Metodologia=Agil AND Tamano_Equipo=Grande,Si,0.75,12,9,0.0181
Tamano_Equipo=Mediano AND Metodologia=Agil AND Presupuesto=Bajo AND Experiencia_Lider=Media,Si,0.7273,11,8,0.0161
Presupuesto=Medio AND Experiencia_Lider=Baja AND Tamano_Equipo=Pequeño AND Metodologia=Cascada,No,0.7059,17,12,0.0239
Metodologia=Hibrida AND Experiencia_Lider=Media AND Presupuesto=Bajo AND Tamano_Equipo=Grande,Si,0.6923,13,9,0.0181
Metodologia=Hibrida AND Presupuesto=Bajo AND Tamano_Equipo=Mediano AND Experiencia_Lider=Alta,No,0.6875,16,11,0.0219
Metodologia=Hibrida AND Experiencia_Lider=Alta AND Presupuesto=Medio AND Tamano_Equipo=Mediano,Si,0.6875,16,11,0.0221
Metodologia=Hibrida AND Presupuesto=Medio AND Tamano_Equipo=Grande AND Experiencia_Lider=Media,No,0.6667,9,6,0.012
Metodologia=Hibrida AND Tamano_Equipo=Mediano AND Presupuesto=Alto AND Experiencia_Lider=Alta,No,0.6667,9,6,0.012
Metodologia=Cascada AND Tamano_Equipo=Mediano AND Experiencia_Lider=Media AND Presupuesto=Alto,No,0.6667,9,6,0.012
Presupuesto=Medio AND Experiencia_Lider=Alta AND Tamano_Equipo=Grande AND Metodologia=Cascada,Si,0.6667,6,4,0.008
Metodologia=Hibrida AND Tamano_Equipo=Mediano AND Presupuesto=Bajo AND Experiencia_Lider=Baja,No,0.6364,11,7,0.0139
Experiencia_Lider=Media AND Presupuesto=Bajo AND Tamano_Equipo=Grande AND Metodologia=Agil,No,0.6364,11,7,0.0139
Presupuesto=Alto AND Tamano_Equipo=Mediano AND Experiencia_Lider=Baja AND Metodologia=Agil,Si,0.6364,11,7,0.0141
Metodologia=Hibrida AND Tamano_Equipo=Pequeño AND Experiencia_Lider=Baja AND Presupuesto=Medio,Si,0.625,8,5,0.01
Presupuesto=Alto AND Experiencia_Lider=Alta AND Metodologia=Cascada AND Tamano_Equipo=Mediano,Si,0.625,8,5,0.01
Presupuesto=Alto AND Tamano_Equipo=Mediano AND Experiencia_Lider=Baja AND Metodologia=Hibrida,Si,0.619,21,13,0.0261
Metodologia=Hibrida AND Tamano_Equipo=Pequeño AND Presupuesto=Bajo AND Experiencia_Lider=Media,Si,0.6154,13,8,0.0161
Presupuesto=Medio AND Experiencia_Lider=Media AND Metodologia=Agil AND Tamano_Equipo=Mediano,No,0.6,15,9,0.0179
Presupuesto=Medio AND Experiencia_Lider=Baja AND Tamano_Equipo=Pequeño AND Metodologia=Agil,No,0.6,15,9,0.0179
Metodologia=Hibrida AND Experiencia_Lider=Alta AND Tamano_Equipo=Grande AND Presupuesto=Bajo,Si,0.6,10,6,0.012
Experiencia_Lider=Baja AND Presupuesto=Bajo AND Tamano_Equipo=Mediano AND Metodologia=Agil,No,0.5833,12,7,0.0139
Presupuesto=Medio AND Tamano_Equipo=Mediano AND Experiencia_Lider=Baja AND Metodologia=Agil,Si,0.5833,12,7,0.0141
Metodologia=Agil AND Tamano_Equipo=Pequeño AND Presupuesto=Bajo AND Experiencia_Lider=Baja,Si,0.5833,12,7,0.0141
Presupuesto=Medio AND Experiencia_Lider=Alta AND Tamano_Equipo=Pequeño AND Metodologia=Cascada,Si,0.5789,19,11,0.0221
Presupuesto=Medio AND Experiencia_Lider=Media AND Metodologia=Agil AND Tamano_Equipo=Grande,No,0.5714,14,8,0.0159
Presupuesto=Alto AND Experiencia_Lider=Alta AND Metodologia=Cascada AND Tamano_Equipo=Grande,Si,0.5714,14,8,0.0161
Metodologia=Hibrida AND Tamano_Equipo=Grande AND Presupuesto=Alto AND Experiencia_Lider=Media,No,0.5556,9,5,0.01
Experiencia_Lider=Media AND Presupuesto=Medio AND Metodologia=Cascada AND Tamano_Equipo=Grande,Si,0.5556,9,5,0.01
Metodologia=Hibrida AND Presupuesto=Medio AND Experiencia_Lider=Media AND Tamano_Equipo=Pequeño,No,0.55,20,11,0.0219
Experiencia_Lider=Media AND Presupuesto=Alto AND Metodologia=Hibrida AND Tamano_Equipo=Mediano,Si,0.5455,11,6,0.012
Experiencia_Lider=Media AND Metodologia=Agil AND Presupuesto=Bajo AND Tamano_Equipo=Pequeño,Si,0.5455,11,6,0.012
Tamano_Equipo=Mediano AND Presupuesto=Alto AND Experiencia_Lider=Baja AND Metodologia=Cascada,Si,0.5455,11,6,0.012
Metodologia=Hibrida AND Presupuesto=Bajo AND Experiencia_Lider=Baja AND Tamano_Equipo=Pequeño,No,0.5385,13,7,0.0139
Metodologia=Hibrida AND Tamano_Equipo=Pequeño AND Experiencia_Lider=Alta AND Presupuesto=Medio,Si,0.5385,13,7,0.0141
Presupuesto=Medio AND Tamano_Equipo=Mediano AND Metodologia=Hibrida AND Experiencia_Lider=Baja,Si,0.5385,13,7,0.0141
Experiencia_Lider=Media AND Presupuesto=Medio AND Metodologia=Cascada AND Tamano_Equipo=Pequeño,Si,0.5385,13,7,0.0141
Tamano_Equipo=Mediano AND Presupuesto=Medio AND Experiencia_Lider=Baja AND Metodologia=Cascada,Si,0.5333,15,8,0.0161
Metodologia=Hibrida AND Experiencia_Lider=Alta AND Tamano_Equipo=Grande AND Presupuesto=Alto,Si,0.5333,15,8,0.0161
Metodologia=Hibrida AND Presupuesto=Bajo AND Experiencia_Lider=Alta AND Tamano_Equipo=Pequeño,No,0.5,14,7,0.0139
Metodologia=Hibrida AND Tamano_Equipo=Pequeño AND Experiencia_Lider=Alta AND Presupuesto=Bajo,Si,0.5,14,7,0.0141
Metodologia=Hibrida AND Tamano_Equipo=Grande AND Presupuesto=Medio AND Experiencia_Lider=Alta,No,0.5,12,6,0.012
Metodologia=Cascada AND Tamano_Equipo=Mediano AND Experiencia_Lider=Media AND Presupuesto=Medio,No,0.5,12,6,0.012
Presupuesto=Medio AND Tamano_Equipo=Mediano AND Experiencia_Lider=Media AND Metodologia=Cascada,Si,0.5,12,6,0.012
Presupuesto=Medio AND Experiencia_Lider=Alta AND Tamano_Equipo=Grande AND Metodologia=Hibrida,Si,0.5,12,6,0.012
Metodologia=Hibrida AND Tamano_Equipo=Mediano AND Presupuesto=Bajo AND Experiencia_Lider=Media,No,0.5,10,5,0.01
Experiencia_Lider=Media AND Tamano_Equipo=Grande AND Metodologia=Cascada AND Presupuesto=Alto,No,0.5,10,5,0.01
Experiencia_Lider=Media AND Tamano_Equipo=Mediano AND Presupuesto=Alto AND Metodologia=Agil,No,0.5,10,5,0.01
Experiencia_Lider=Media AND Presupuesto=Alto AND Metodologia=Agil AND Tamano_Equipo=Mediano,Si,0.5,10,5,0.01
Experiencia_Lider=Media AND Metodologia=Hibrida AND Tamano_Equipo=Mediano AND Presupuesto=Bajo,Si,0.5,10,5,0.01
Experiencia_Lider=Media AND Presupuesto=Alto AND Tamano_Equipo=Grande AND Metodologia=Cascada,Si,0.5,10,5,0.01
Metodologia=Hibrida AND Tamano_Equipo=Mediano AND Experiencia_Lider=Media AND Presupuesto=Medio,No,0.5,8,4,0.008
Experiencia_Lider=Media AND Metodologia=Hibrida AND Tamano_Equipo=Mediano AND Presupuesto=Medio,Si,0.5,8,4,0.008
